URL,Title,H1,H2_Count,Status_Code,Duration_ms,Error
https://www.gov.br/pt-br/servicos/assinatura-eletronica?origem=maisacessado_home,Realizar a Assinatura Eletrônica de documentos,Realizar a Assinatura Eletrônica de documentos,3,200,265,
https://www.gov.br/pt-br/perfil_usuario/aposentado,Aposentado,Aposentado,0,200,267,
https://www.gov.br/pt-br,GOV.BR,"
                        Serviços e Informações do Brasil
                    ",7,200,274,
https://www.alura.com.br/como-funciona,Como funciona estudar com os cursos de tecnologia online da Alura?,Como funciona estudar na Alura?,37,200,445,
https://www.alura.com.br/cursos-online-programacao,Programação: Cursos das principais Linguagens | Alura Cursos Online,Transforme sua carreira com o maior desconto do ano!,33,200,228,
https://www.alura.com.br/,Black November Alura: matricule-se com até 50% de desconto!,Black November,40,200,560,
https://www.mercadolivre.com.br/,,,0,403,160,
https://facinpro.edu.br/,Home - FacInPro,FacInPro - Projetamos grandes futuros para quem quer trilhar novos caminhos.,28,200,905,
https://www.amazon.com.br/,"Amazon.com.br | Tudo pra você, de A a Z.",,16,200,1164,
https://classroom.google.com/,Sign in - Google Accounts,Sign in,0,200,1986,
